id_matricula,id_aluno,id,Column1,co_uf_nasc,co_uf_end,co_curso_educ_profissional,co_municipio_end,co_municipio_nasc,co_pais_origem,in_autismo,in_baixa_visao,in_cegueira,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_surdez,in_surdocegueira,nome_escola_id,nu_ano,nu_ano_censo,nu_dias_atividade,nu_dur_aee_outras_redes,nu_dur_ativ_comp_outras_redes,nu_dur_aee_mesma_rede,nu_duracao_turma,nu_dur_ativ_comp_mesma_rede,nu_idade_referencia,nu_idade,nu_mes,tp_dependencia,tp_cor_raca,tp_sexo,in_necessidade_especial
35508362,118533160916,3789047,3788575,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,9,NA,0,2,0
35508363,124139997957,3792752,3792280,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,295,0,16,17,11,NA,2,2,0
35508364,117626313932,3788494,3788022,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1990,2013,,,0,,240,0,23,23,1,NA,2,2,0
35508365,124139998090,3792795,3792323,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,0,0,11,11,4,NA,0,2,0
35508366,124139998090,3792192,3791720,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,0,0,11,11,4,NA,0,2,0
35508367,124139998090,3790951,3790479,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,295,284,11,11,4,NA,0,2,0
35508368,118530869086,3787294,3786822,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,0,12,13,10,NA,3,2,0
35508369,117626136380,3788473,3788001,29,29,0,2927408,2925204,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,355,0,17,18,7,NA,0,2,0
35508370,113469431174,3788048,3787576,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1991,2013,,,0,,240,0,21,22,7,NA,3,2,0
35508371,122147226458,3792123,3791651,29,29,0,2927408,2926004,76,0,0,0,0,0,0,0,0,0,474,1973,2013,,,0,,240,0,39,40,7,NA,3,2,0
35508372,119306040090,3792124,3791652,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1950,2013,,,0,,240,0,63,63,3,NA,3,2,0
35508373,122845929020,3788087,3787615,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,0,13,13,4,NA,0,2,0
35508374,118530880802,3792145,3791673,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,14,14,3,NA,0,2,0
35508375,118530879715,3793951,3793479,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,240,0,16,16,5,NA,0,1,0
35508376,111234777010,3791597,3791125,29,29,0,2927408,2923308,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,6,NA,2,2,0
35508377,112790287340,3788495,3788023,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1990,2013,,,0,,240,0,22,23,6,NA,0,2,0
35508379,110737016468,3792125,3791653,29,29,0,2927408,2913903,76,0,0,0,0,0,0,0,0,0,474,1991,2013,,,0,,240,0,22,22,4,NA,0,2,0
35508380,119573047402,3792193,3791721,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,13,14,6,NA,0,2,0
35508381,119573047402,3792753,3792281,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,284,13,14,6,NA,0,2,0
35508382,119573047402,3792796,3792324,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,13,14,6,NA,0,2,0
